GRID,Name,CIND,Avox,ClientType,Explanation,CountryInc,Country,LOB,Cif Risk,Risk Rating,HasTransactions,NumberOfTransactions,Sources,MaxTradeDate,TotalAmount,AccountSources,Open Account Sources,AccountIds,Markets,HSI,Payments,GTRF,HSS,NumberofTransactions,NKYC_PROFILE_ID_LATEST,NKYC_STATUS_LATEST,NKYC_REQUEST_TYPE_LATEST,NKYC_RISK_RATING_LATEST,KYCS_NEXT_RENEWAL_DATE_LATEST,RM,Rec
315591,cust13,85721694,16916604,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,2481,"FISC, KYCS",4/1/2020,8145092,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,2481,20203263,ACTIVE,Trigger,LOW,6/14/2023,Kindra Lebrun  ,"HIE,FITEK,WDA"
4180464,cust14,950153926,31083671,GBM Customers,Direct Customer,hun,che,gbm,m,medium,yes,280,"KYCS, WDA",11/5/2019,2127758733,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,280,20212468,ACTIVE,Trigger,MEDIUM,1/31/2022,Tyron Duford  ,"IMPACT TRADES,IMPACT FIN,GPS"
69882,cust15,478296233,14023056,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,1,"Impact Trades, KYCS",6/13/2019,520625,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,1,20173452,DRAFT,Trigger,LOW,6/30/2020,Sherril Neufeld  ,"GPS,FISC,DDA"
2655861,cust16,660384568,3790360,GBM Customers,Direct Customer,bmu,bmu,gbm,m,medium,yes,12,"FITEK, KYCS",5/5/2020,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,yes,12,56509,ACTIVE,Amendment,MEDIUM,11/28/2018,Elden Hasting  ,"GPS,DDA,WDA"
70064,cust17,100936225,3207462,GBM Customers,Direct Customer,mex,mex,gbm,l,low,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20173349,EXPIRED,New Business - Remediation,LOW,9/18/2018,Romeo Giambrone  ,"IMPACT TRADES,FISC,FITEK"
26048827,cust18,202001917,30165038,GBM Customers,Direct Customer,usa,usa,gbm,h,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20203458,ACTIVE,New Business,LOW,11/19/2024,Robert Derusha,"IMPACT TRADES,FISC,WDA"
2591898,cust19,726947825,28128040,GBM Customers,Direct Customer,gbr,sgp,gbm,m,medium,yes,7,"GPS, KYCS, WDA",11/13/2019,2041758.14,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,7,20182854,ACTIVE,New Business - Remediation,MEDIUM,12/21/2020,Debra Whicker  ,"ADP,FISC,FITEK"
69859,cust20,170554251,24999267,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,64,"ADP, FISC, Impact Trades, KYCS",3/13/2020,73807306,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,64,20173350,EXPIRED,Trigger,LOW,9/19/2019,Vikki Newlon  ,"GPS,WDA"
4603122,cust21,100293867,34746283,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,249,"Loan IQ, KYCS, WDA",5/14/2020,2.64E+11,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,yes,249,20202546,DRAFT,Renewal (Scheduled),MEDIUM,6/20/2019,Nick Obrien,"HIE,GPS,ADP"
1142243,cust22,867682884,14626959,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20192461,ACTIVE,New Business - Remediation,LOW,6/14/2023,Eun Bushway  ,"IMPACT TRADES,FISC,WDA"
4120827,cust23,605307694,30526487,GBM Customers,Direct Customer,can,can,gbm,l,low,yes,1419,"GPS, KYCS, WDA",5/11/2020,912526056.7,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,1419,20192461,ACTIVE,New Business - Remediation,LOW,4/18/2023,Valencia James  ,"NFOS,IMPACT TRADES,ADP"
4119060,cust24,307135145,30573923,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,149,"GPS, KYCS, WDA",4/28/2020,3778830.58,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,149,20182947,ACTIVE,New Business,LOW,7/10/2022,Desire Felch  ,"PMC,DDA,IMPACT TRADES"
65628,cust25,155096807,2363072,GBM Customers,Direct Customer,usa,usa,gbm,h,low,yes,5400,"ADP, FISC, Impact Fin, Impact Trades, KYCS",5/14/2020,8220816546,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,5400,20173070,EXPIRED,New Business - Remediation,LOW,9/30/2019,Kayleigh Asuncion  ,"GPS,WDA,LOAN IQ"
69944,cust26,100293852,7349350,GBM Customers,Direct Customer,chn,chn,gbm,h,medium,yes,83161,"GPS, KYCS, WDA",5/14/2020,42229480736,CIF ISD,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,83161,20203556,ACTIVE,Trigger,MEDIUM,5/13/2021,Andre Bushell,"NFOS,IMPACT TRADES,FISC"
1127024,cust27,88289285,13532504,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,4,"FISC, KYCS",3/20/2020,720000,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,4,20192552,ACTIVE,New Business,LOW,4/24/2023,Arron Burse  ,"GPS,DDA,WDA"
25096301,cust28,194642226,36273825,GBM Customers,Direct Customer,usa,aus,gbm,m,medium,yes,103,"GPS, KYCS, WDA",5/13/2020,54314284.46,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,103,20183557,ACTIVE,New Business,MEDIUM,4/28/2021,Harvey Pressnell  ,"FISC,DDA,ADP"
4113921,cust29,826544171,30748931,GBM Customers,Direct Customer,usa,usa,gbm,h,high,yes,1,"KYCS, WDA",3/12/2020,220,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,1,20202452,ACTIVE,Renewal,HIGH,6/21/2020,Earl Laberge,"GPS,FISC,DDA"
4068568,cust30,33404858,5130369,GBM Customers,Direct Customer,usa,usa,clos,,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20212564,ACTIVE,New Business,LOW,2/25/2025,Tyron Matousek  ,"IMPACT TRADES,FISC,ADP"
4215575,cust33,100002226,3200001,GBM Customers,Direct Customer,usa,usa,gbm,,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20182468,EXPIRED,New Business,MEDIUM,5/23/2019,Glen Montano  ,"IMPACT TRADES,FISC,WDA"
25483143,cust34,592637481,25805649,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20193573,ACTIVE,Trigger,LOW,8/29/2023,Tabetha Cuddy  ,"IMPACT TRADES,FISC,WDA"
4252273,cust35,356697578,3202531,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,355,"ADP, Loan IQ, KYCS",4/30/2020,5.76E+11,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,yes,355,20203346,ACTIVE,Renewal (Scheduled),LOW,1/1/2021,Earnest Dunagan  ,"HIE,GPS,NFOS"
432918,cust36,101077235,3826403,GBM Customers,Direct Customer,gbr,gbr,gbm,l,low,yes,59976,"GPS, KYCS, WDA",5/14/2020,3.36E+11,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,59976,20203564,ACTIVE,Trigger,LOW,5/21/2020,Jacklyn Ricotta  ,"NFOS,IMPACT TRADES,CAL"
26140459,cust37,54946273,39357946,GBM Customers,Direct Customer,usa,usa,gbm,h,scc,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20212551,ACTIVE,New Business,SCC,4/21/2021,Clemencia Buchta  ,"IMPACT TRADES,FISC,WDA"
328298,cust38,962305459,6745219,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,1718,"Impact Trades, KYCS",5/14/2020,7280177903,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,1718,20173463,ACTIVE,New Business - Remediation,LOW,12/28/2023,Zenobia Green  ,"GPS,DDA,WDA"
4442626,cust39,100184182,31434467,GBM Customers,Direct Customer,gbr,gbr,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20183146,ACTIVE,New Business - Remediation,LOW,3/26/2023,Joey Ellinger  ,"GPS,WDA"
25617866,cust40,308223447,36926288,GBM Customers,Direct Customer,usa,usa,gbm,h,medium,yes,7,"Impact Trades, KYCS",2/10/2020,13859750,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,7,20193466,ACTIVE,Trigger,MEDIUM,11/21/2021,Alonzo Dunkin  ,"GPS,ADP,WDA"
620572,cust41,345146077,2374515,GBM Customers,Direct Customer,gbr,gbr,gbm,m,medium,yes,26,"KYCS, WDA",4/30/2020,10533404.8,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,26,20192473,ACTIVE,New Business - Remediation,MEDIUM,6/6/2021,Cornelius Dearmond  ,"IMPACT TRADES,FISC,ADP"
4245692,cust42,493010688,31638685,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,12,"GPS, KYCS, WDA",5/1/2020,68311851.12,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,12,20182567,ACTIVE,New Business - Remediation,LOW,8/28/2023,Danilo Nading  ,"ADP,IMPACT TRADES,LOAN IQ"
65427,cust43,100261818,25176586,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,342,"Impact Trades, KYCS",5/14/2020,187684315,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,342,20203151,ACTIVE,Renewal,MEDIUM,10/11/2020,Steve Mealey  ,"IMPACT FIN,WDA,GPS"
4128439,cust44,157256334,16982856,GBM Customers,Direct Customer,col,col,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20182751,ACTIVE,New Business - Remediation,MEDIUM,12/18/2020,Bobby Brumbelow  ,"IMPACT TRADES,FISC,FITEK"
71153,cust45,653355077,2250832,GBM Customers,Direct Customer,usa,usa,gbm,m,low,yes,415,"Impact Fin, KYCS, SMT",5/14/2020,299281736.5,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,415,20202455,ACTIVE,New Business - Remediation,LOW,5/13/2024,Ronny Concepcion  ,"GPS,DDA,WDA"
2616158,cust46,145900279,4407407,GBM Customers,Direct Customer,nld,nld,gbm,l,low,yes,134,"Loan IQ, KYCS",3/23/2020,18820000000,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,yes,134,20183051,ACTIVE,New Business - Remediation,LOW,10/23/2020,Cleo Hobgood  ,"GPS,NFOS,WDA"
4624546,cust48,346925780,36002265,GBM Customers,Direct Customer,jpn,jpn,gbm,,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20183160,EXPIRED,New Business,MEDIUM,10/17/2019,Teressa Veatch  ,"IMPACT TRADES,FISC,FITEK"
960038,cust49,100135391,4171882,GBM Customers,Direct Customer,lie,grc,gbm,h,scc,yes,12,"KYCS, WDA",4/30/2020,64.56,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,12,20202875,EXPIRED,Trigger,SCC,12/28/2019,Sharda Angevine  ,"GPS,FISC,FITEK"
25578080,cust50,653661096,6747508,GBM Customers,Direct Customer,mex,mex,gbm,m,medium,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20202475,ACTIVE,Trigger,MEDIUM,11/14/2021,Taisha Clermont  ,"IMPACT TRADES,FISC,FITEK"
4182580,cust51,876893762,30877383,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20173473,ACTIVE,New Business,LOW,4/12/2022,Richard Johnson,"IMPACT TRADES,FISC,WDA"
65443,cust52,117322736,7005200,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,56,"Impact Fin, Impact Trades, KYCS",3/18/2020,2272169587,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,56,20202571,ACTIVE,Renewal,LOW,6/28/2022,Sina Lamers  ,"NFOS,CAL,FISC"
264667,cust53,100931117,2568449,GBM Customers,Direct Customer,bel,bel,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20192775,ACTIVE,Trigger,MEDIUM,10/23/2019,Kam Ackley  ,"IMPACT TRADES,FISC,FITEK"
924950,cust54,306192175,25594164,GBM Customers,Direct Customer,gbr,gbr,gbm,h,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20203453,ACTIVE,New Business,LOW,1/6/2025,Amrita Singh,"GPS,WDA"
65416,cust55,288241051,2559016,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,157762,"Impact Fin, Impact Trades, NFOS, KYCS, SMT, TRT",5/14/2020,2.64E+12,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,157762,20202649,ACTIVE,Renewal,LOW,7/28/2020,Jonathan Parker,"TDA,GPS,DDA"
68160,cust56,996234558,29202958,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,4,"GPS, KYCS, WDA",5/14/2020,47563.18,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,4,20202858,ACTIVE,Renewal,MEDIUM,9/25/2020,Steve Moore,"FISC,DDA,IMPACT TRADES"
1978022,cust57,569214780,25959009,GBM Customers,Direct Customer,sgp,sgp,gbm,m,medium,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20193058,ACTIVE,Renewal,MEDIUM,3/1/2020,Deloise Marez  ,"IMPACT TRADES,FISC,FITEK"
4139088,cust58,200895171,28829702,GBM Customers,Direct Customer,gbr,gbr,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20203346,ACTIVE,Renewal (Scheduled),MEDIUM,12/19/2022,Alan Amante  ,"GPS,WDA"
4264004,cust59,999911995,32134797,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,53,"GPS, KYCS, WDA",5/8/2020,53327107.2,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,53,20192870,ACTIVE,New Business - Remediation,LOW,11/14/2023,Shila Eyre  ,"FISC,ADP,IMPACT TRADES"
4546589,cust60,952704504,34900370,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,783,"GPS, KYCS, WDA",5/14/2020,185161203.1,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,783,20183468,ACTIVE,New Business,LOW,2/21/2023,Makeda Hutson  ,"HIE,NFOS,FITEK"
5191247,cust61,621516302,26446518,GBM Customers,Direct Customer,usa,usa,gbmi,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20183174,ACTIVE,New Business,MEDIUM,11/29/2021,Brandie Pokorny  ,"IMPACT TRADES,FISC,WDA"
4001859,cust63,794167559,25086053,GBM Customers,Direct Customer,fra,sgp,gbm,,medium,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20202873,EXPIRED,Trigger,MEDIUM,11/26/2019,Kindra Lebrun  ,"IMPACT TRADES,FISC,FITEK"
71111,cust65,730328117,25570206,GBM Customers,Direct Customer,bmu,bmu,gbm,,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20192869,ACTIVE,Trigger,MEDIUM,4/9/2019,Sherril Neufeld  ,"IMPACT TRADES,FITEK,WDA"
526371,cust66,808187132,4407422,GBM Customers,Direct Customer,per,per,gbm,h,scc,no,0,KYCS,1800-01-01,0,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20182850,EXPIRED,Trigger,SCC,4/28/2018,Elden Hasting  ,"IMPACT TRADES,FISC,FITEK"
4440174,cust67,100231540,34619233,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,14145,"KYCS, WDA",5/11/2020,202303741.2,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,14145,20202846,ACTIVE,Trigger,LOW,5/25/2020,Romeo Giambrone  ,"HIE,NFOS,ADP"
25643075,cust68,807432405,36581872,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,42,"CAL, DTP, FISC, Impact Trades, NFOS, KYCS",3/30/2020,235139500,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,42,20203453,ACTIVE,Trigger,LOW,12/4/2023,Robert Derusha,"GPS,WDA"
2608528,cust69,879578232,33916597,GBM Customers,Direct Customer,mex,mex,gbm,h,scc,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20203556,ACTIVE,Renewal,SCC,3/26/2021,Debra Whicker  ,"IMPACT TRADES,FISC,FITEK"
4093412,cust70,348324483,13695977,GBM Customers,Direct Customer,chn,usa,gbmi,h,scc,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20202770,ACTIVE,Renewal,SCC,7/23/2020,Vikki Newlon  ,"IMPACT TRADES,FISC,WDA"
25333876,cust71,319384112,36777691,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,760,"GPS, KYCS, WDA",5/14/2020,23005214.94,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,760,20192867,ACTIVE,Trigger,LOW,5/3/2023,Nick Obrien,DDA
4384660,cust72,206934995,30263485,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20183448,ACTIVE,New Business - Remediation,MEDIUM,3/28/2021,Eun Bushway  ,"IMPACT TRADES,FISC,WDA"
2466624,cust73,127435280,3205274,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,5978,"DDA, DTP, GPS, Loan IQ, NFOS, KYCS, TDA",5/14/2020,1.20E+12,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,no,yes,no,yes,5978,20202965,ACTIVE,Renewal,MEDIUM,10/17/2020,Valencia James  ,"TRT,SMT,IMPACT FIN"
25723442,cust74,142749507,37856996,GBM Customers,Direct Customer,usa,usa,gbm,h,medium,yes,1233,"DDA, GPS, KYCS",5/11/2020,6109844134,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,1233,20202475,ACTIVE,New Business,MEDIUM,8/1/2022,Desire Felch  ,"IMPACT TRADES,WDA"
2587158,cust75,537226609,2372097,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20182447,ACTIVE,New Business - Remediation,LOW,4/17/2022,Kayleigh Asuncion  ,"IMPACT TRADES,FISC,WDA"
4306465,cust76,100037035,32613206,GBM Customers,Direct Customer,hun,hun,gbm,m,medium,yes,2101,"GPS, KYCS, WDA",5/14/2020,727290653.1,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,2101,20202453,ACTIVE,Renewal,MEDIUM,2/15/2021,Andre Bushell,"ADP,LOAN IQ"
25500819,cust77,100529296,37075804,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,1401,"GPS, KYCS, WDA",5/11/2020,72508149.94,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,1401,20193447,ACTIVE,Trigger,LOW,7/17/2023,Arron Burse  ,DDA
25804217,cust78,187553798,25026829,GBM Customers,Direct Customer,usa,usa,gbm,,low,yes,14,"Impact Trades, KYCS",4/2/2020,7912555,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,14,20202760,ACTIVE,New Business,LOW,5/13/2022,Harvey Pressnell  ,"GPS,FISC,DDA"
25280408,cust79,100804561,36678904,GBM Customers,Direct Customer,usa,aus,gbm,m,medium,yes,1301,"GPS, KYCS, WDA",5/11/2020,534467798.3,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,1301,20192653,ACTIVE,New Business,MEDIUM,9/12/2021,Earl Laberge,NFOS
25969170,cust80,969289621,38283139,GBM Customers,Direct Customer,bmu,bmu,gbm,h,low,yes,45,"GPS, KYCS, WDA",5/5/2020,93683153.38,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,45,20203174,ACTIVE,New Business,LOW,9/10/2024,Tyron Matousek  ,"FISC,DDA,ADP"
4567865,cust82,183042819,34644459,GBM Customers,Direct Customer,deu,deu,gbm,,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20192747,ACTIVE,Trigger,MEDIUM,8/25/2019,Leland Lish  ,"IMPACT TRADES,FISC,FITEK"
4453072,cust83,266460832,5116156,GBM Customers,Direct Customer,can,can,gbm,h,medium,yes,240,"GPS, KYCS, WDA",5/14/2020,302902174.8,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,240,20192570,ACTIVE,New Business - Remediation,MEDIUM,11/12/2021,Glen Montano  ,"SMT,IMPACT FIN,IMPACT TRADES"
69487,cust84,716207948,3198489,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,2,"Loan IQ, KYCS",11/18/2019,40000000,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,yes,2,20183574,ACTIVE,Trigger,LOW,12/15/2022,Tabetha Cuddy  ,"GPS,ADP,WDA"
4000447,cust85,633259197,3549581,GBM Customers,Direct Customer,aus,aus,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20182464,EXPIRED,New Business,MEDIUM,1800-01-01,Earnest Dunagan  ,"IMPACT TRADES,FISC,FITEK"
